"data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year"
"2024-01-21,202404,2.0,2,2,2,0.921898,34.995625,0,1,522068620240419768,2024-02-15,0.0,5.715059,5715.0,22.8571428571429,83.437763,0,0,0,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,16"
"2024-01-14,202403,1.0,1,1,1,0.9632679,17.497812,0,1,522068620240319768,2024-02-15,0.0,18.521618,5715.0,22.625,75.302707875,0,0,0,72.773421875,70.24414175,23.1875,23.75,,,,,,16"
"2024-01-07,202402,0.0,0,0,0,0.0,0.0,0,1,522068620240219768,2024-02-15,0.0,0.0,5715.0,21.7142857142857,87.0944164285714,0,0,0,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,16"
"2023-12-31,202401,0.0,0,0,0,0.0,0.0,0,1,522068620240119768,2024-02-15,0.0,0.0,5715.0,21.375,91.4545975,0,0,0,90.47780375,89.50101125,21.4375,21.5,,,,,,16"
"2024-02-04,202406,2.0,2,2,2,0.0155597385,12.904891,0,2,520010020240619768,2024-02-15,0.0,0.23860486,15498.0,20.625,95.5985775,1,0,0,93.781654375,91.9647325,20.875,21.125,,,,,,42"
"2024-01-28,202405,8.0,8,8,8,0.37652493,51.619564,0,2,520010020240519768,2024-02-15,0.0,0.8624665,15498.0,19.7142857142857,92.7592157142857,1,0,1,91.5162592857143,90.2733034285714,20.0,20.2857142857143,,,,,,42"
"2024-01-21,202404,7.0,7,7,7,0.44351223,45.167118,0,2,520010020240419768,2024-02-15,0.0,0.93010825,15498.0,20.7142857142857,98.2973257142857,1,0,1,97.8926757142857,97.4880271428571,20.7857142857143,20.8571428571429,,,,,,42"
"2024-01-14,202403,13.0,13,13,13,0.9849307,83.88179,0,3,520010020240319768,2024-02-15,0.0,2.9610133,15498.0,20.4285714285714,95.0171028571429,1,1,1,93.0978264285714,91.17855,20.6428571428571,20.8571428571429,,,,,,42"
"2024-01-07,202402,7.0,7,7,7,0.97914296,45.167118,0,1,520010020240219768,2024-02-15,0.0,4.4086423,15498.0,20.5714285714286,94.9690514285714,1,1,1,94.5703121428571,94.1715742857143,20.6428571428571,20.7142857142857,,,,,,42"
"2023-12-31,202401,5.0,5,5,5,0.99577093,32.262226,0,1,520010020240119768,2024-02-15,0.0,18.521618,15498.0,20.2857142857143,99.1455371428571,1,1,1,99.1455371428571,99.1455371428571,20.5,20.7142857142857,,,,,,42"
"2024-02-04,202406,441.0,216,940,94,1.0,1537.121,0,4,520030820240619768,2024-02-15,0.0,2.2384124,28690.0,22.3,82.4472402,0,1,2,81.7351194,81.0229992,22.3,22.3,,,,,,688"
"2024-01-28,202405,359.0,310,481,282,1.0,1251.3071,0,4,520030820240519768,2024-02-15,0.0,3.2503428,28690.0,22.4285714285714,80.6155614285714,0,1,2,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,688"
"2024-01-21,202404,148.0,137,172,134,1.0,515.8592,0,4,520030820240419768,2024-02-15,0.0,2.3915076,28690.0,22.8571428571429,83.437763,0,1,2,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,688"
"2024-01-14,202403,99.0,96,108,96,1.0,345.06796,0,4,520030820240319768,2024-02-15,0.0,3.097836,28690.0,22.625,75.302707875,0,1,2,72.773421875,70.24414175,23.1875,23.75,,,,,,688"
"2024-01-07,202402,60.0,60,64,60,0.99999994,209.1321,0,4,520030820240219768,2024-02-15,0.0,3.8713984,28690.0,21.7142857142857,87.0944164285714,1,1,2,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,688"
"2023-12-31,202401,22.0,22,22,22,0.9914123,76.68177,0,1,520030820240119768,2024-02-15,0.0,2.4178374,28690.0,21.375,91.4545975,1,1,2,90.47780375,89.50101125,21.4375,21.5,,,,,,688"
"2024-02-04,202406,3.0,3,3,3,0.48005643,40.8608,0,1,520400320240619768,2024-02-15,0.0,0.9629429,7342.0,22.3,82.4472402,0,0,0,81.7351194,81.0229992,22.3,22.3,,,,,,16"
"2024-01-28,202405,3.0,3,3,3,0.5295151,40.8608,0,1,520400320240519768,2024-02-15,0.0,1.0587213,7342.0,22.4285714285714,80.6155614285714,0,0,0,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,16"
"2024-01-21,202404,3.0,3,3,3,0.68501234,40.8608,0,1,520400320240419768,2024-02-15,0.0,1.4905058,7342.0,22.8571428571429,83.437763,0,0,0,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,16"
"2024-01-14,202403,4.0,4,4,4,0.9104489,54.481068,0,1,520400320240319768,2024-02-15,0.0,3.185172,7342.0,22.625,75.302707875,0,0,0,72.773421875,70.24414175,23.1875,23.75,,,,,,16"
"2024-01-07,202402,1.0,1,1,1,0.6887573,13.620267,0,1,520400320240219768,2024-02-15,0.0,1.8589696,7342.0,21.7142857142857,87.0944164285714,1,0,0,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,16"
"2023-12-31,202401,2.0,2,2,2,0.9779825,27.240534,0,1,520400320240119768,2024-02-15,0.0,18.521618,7342.0,21.375,91.4545975,1,0,0,90.47780375,89.50101125,21.4375,21.5,,,,,,16"
"2024-02-04,202406,259.5,82,911,20,0.9999999,1080.4397,0,4,520551320240619768,2024-02-15,0.0,1.6808623,24018.0,22.3,82.4472402,0,1,2,81.7351194,81.0229992,22.3,22.3,,,,,,552"
"2024-01-28,202405,179.0,120,390,96,0.99826837,745.27435,0,4,520551320240519768,2024-02-15,0.0,1.3987575,24018.0,22.4285714285714,80.6155614285714,0,1,2,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,552"
"2024-01-21,202404,151.0,137,182,131,0.9978474,628.6951,0,4,520551320240419768,2024-02-15,0.0,1.4316131,24018.0,22.8571428571429,83.437763,0,1,2,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,552"
"2024-01-14,202403,126.0,118,142,116,0.9997843,524.60657,0,4,520551320240319768,2024-02-15,0.0,1.6514786,24018.0,22.625,75.302707875,0,1,2,72.773421875,70.24414175,23.1875,23.75,,,,,,552"
"2024-01-07,202402,110.0,105,121,104,1.0,457.98984,0,4,520551320240219768,2024-02-15,0.0,2.6050074,24018.0,21.7142857142857,87.0944164285714,1,1,2,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,552"
